Goal,Sample,Name,Matrix,EG_group,EG_block,Florinated,Flor_block,GP_conc_tar,GP_conc_act,CP,CP_conc_tar,CP_conc_act,Solvent,Tot_conc_tar,Tot_conc_act,Highq_trim,lowq_trim,Filename
Sample,978,P3HT_10_DEG50F50_1_dTHF,DEG50F50,DEG,50,F,50,1,0.70,RRe-P3HT,10,10.84,dTHF,11,11.54,100,38,P3HT10D50F50_1dTHF.sub
Sample,996,P3HT_10_DEG50F50_1_dTol,DEG50F50,DEG,50,F,50,1,1.57,RRe-P3HT,10,10.43,dTol,11,12,100,38,P3HT10D50F50_1dTol.sub
Sample,911,P3HT_10_DEG50F50_10_dCF,DEG50F50,DEG,50,F,50,10,8.39,RRe-P3HT,10,13.25,dCF,20,21.64,130,2,P3HT10D50F50_10dCF.sub
Sample,916,P3HT_10_DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,10.86,RRe-P3HT,10,10.23,dTHF,20,21.09,100,25,P3HT10D50F50_10dTHF.sub
Sample,937,P3HT_10_DEG50F50_10_dTol,DEG50F50,DEG,50,F,50,10,10.49,RRe-P3HT,10,9.88,dTol,20,20.37,100,30,P3HT10D50F50_10dTol.sub
Sample,917,P3HT_10_DEG50F50_10_hTHF,DEG50F50,DEG,50,F,50,10,12.78,RRe-P3HT,10,10.1,hTHF,20,22.88,100,5,P3HT10D50F50_10hTHF.sub
Sample,974,P3HT_10_DEG50F50_5_dTHF,DEG50F50,DEG,50,F,50,5,4.14,RRe-P3HT,10,11.6,dTHF,15,15.74,100,38,P3HT10D50F50_5dTHF.sub
Sample,992,P3HT_10_DEG50F50_5_dTol,DEG50F50,DEG,50,F,50,5,4.68,RRe-P3HT,10,10.38,dTol,15,15.06,100,30,P3HT10D50F50_5dTol.sub
Sample,912,P3HT_10_DEG50F75_10_dCF,DEG50F75,DEG,50,F,75,10,9.69,RRe-P3HT,10,11.19,dCF,20,20.88,130,2,P3HT10D50F75_10dCF.sub
Sample,915,P3HT_10_DEG50F75_10_dTHF,DEG50F75,DEG,50,F,75,10,12.98,RRe-P3HT,10,10.37,dTHF,20,23.35,100,10,P3HT10D50F75_10dTHF.sub
Sample,938,P3HT_10_DEG50F75_10_dTol,DEG50F75,DEG,50,F,75,10,10.40,RRe-P3HT,10,9.47,dTol,20,19.87,100,30,P3HT10D50F75_10dTol.sub
Control,906,P3HT_10_dTHF,none,,,,,0,0.00,RRe-P3HT,10,,dTHF,10,0,100,45,P3HT10_dTHF.sub
Control,942,P3HT_10_dTol,none,,,,,0,0.00,RRe-P3HT,10,10.4,dTol,10,10.4,100,20,P3HT10_dTol.sub
Control,821,P3HT_10_dCF,none,,0,,,0,0.00,RRe-P3HT,10,10,dCF,10,,130,5,P3HT10_dCF.sub
Sample,980,P3HT_10_PEG50F25_1_dTHF,PEG50F25,PEG,50,F,25,1,1.04,RRe-P3HT,10,10.57,dTHF,11,11.61,100,38,P3HT10P50F25_1dTHF.sub
Sample,997,P3HT_10_PEG50F25_1_dTol,PEG50F25,PEG,50,F,25,1,1.88,RRe-P3HT,10,10.4,dTol,11,12.28,100,38,P3HT10P50F25_1dTol.sub
Sample,953,P3HT_10_PEG50F25_10_dCF,PEG50F25,PEG,50,F,25,10,14.78,RRe-P3HT,10,11.24,dCF,20,26.02,130,2,P3HT10P50F25_10dCF.sub
Sample,956,P3HT_10_PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,8.68,RRe-P3HT,10,11.91,dTHF,20,20.59,100,28,P3HT10P50F25_10dTHF.sub
Sample,940,P3HT_10_PEG50F25_10_dTol,PEG50F25,PEG,50,F,25,10,12.33,RRe-P3HT,10,9.87,dTol,20,22.2,100,30,P3HT10P50F25_10dTol.sub
Sample,976,P3HT_10_PEG50F25_5_dTHF,PEG50F25,PEG,50,F,25,5,4.79,RRe-P3HT,10,11.49,dTHF,15,16.28,100,38,P3HT10P50F25_5dTHF.sub
Sample,993,P3HT_10_PEG50F25_5_dTol,PEG50F25,PEG,50,F,25,5,5.78,RRe-P3HT,10,10.18,dTol,15,15.96,100,33,P3HT10P50F25_5dTol.sub
Sample,981,P3HT_10_PEG50F50_1_dTHF,PEG50F50,PEG,50,F,50,1,0.30,RRe-P3HT,10,10.93,dTHF,11,11.23,100,38,P3HT10P50F50_1dTHF.sub
Sample,998,P3HT_10_PEG50F50_1_dTol,PEG50F50,PEG,50,F,50,1,2.06,RRe-P3HT,10,10.14,dTol,11,12.2,100,38,P3HT10P50F50_1dTol.sub
Sample,954,P3HT_10_PEG50F50_10_dCF,PEG50F50,PEG,50,F,50,10,13.39,RRe-P3HT,10,11.27,dCF,20,24.66,130,2,P3HT10P50F50_10dCF.sub
Sample,957,P3HT_10_PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,9.81,RRe-P3HT,10,10.13,dTHF,20,19.94,100,28,P3HT10P50F50_10dTHF.sub
Sample,941,P3HT_10_PEG50F50_10_dTol,PEG50F50,PEG,50,F,50,10,12.21,RRe-P3HT,10,9.26,dTol,20,21.47,100,30,P3HT10P50F50_10dTol.sub
Sample,977,P3HT_10_PEG50F50_5_dTHF,PEG50F50,PEG,50,F,50,5,4.53,RRe-P3HT,10,11.56,dTHF,15,16.09,100,38,P3HT10P50F50_5dTHF.sub
Sample,994,P3HT_10_PEG50F50_5_dTol,PEG50F50,PEG,50,F,50,5,5.84,RRe-P3HT,10,10.12,dTol,15,15.96,100,33,P3HT10P50F50_5dTol.sub
